id,HoraFecha,h
494,11:13:18 1/4/2022,81
495,11:19:58 1/4/2022,78
496,11:26:44 1/4/2022,78
497,11:33:23 1/4/2022,75
498,11:40:04 1/4/2022,74
499,11:43:42 1/4/2022,74
500,11:52:10 1/4/2022,69
501,11:58:53 1/4/2022,65
502,01:34:19 7/2/2106,68
503,13:11:46 1/4/2022,68
504,13:18:30 1/4/2022,65
505,13:25:15 1/4/2022,70
506,13:31:54 1/4/2022,75
507,13:38:38 1/4/2022,78
508,13:45:17 1/4/2022,78
509,13:49:04 1/4/2022,75
510,13:57:24 1/4/2022,79
511,14:04:04 1/4/2022,78
512,14:11:52 1/4/2022,74
513,14:18:31 1/4/2022,74
514,14:25:14 1/4/2022,72
515,14:31:54 1/4/2022,72
516,14:38:37 1/4/2022,74
517,14:45:19 1/4/2022,74
518,14:52:01 1/4/2022,73
519,14:58:41 1/4/2022,73
520,15:05:22 1/4/2022,74
521,15:12:02 1/4/2022,74
522,15:18:45 1/4/2022,74
523,15:25:28 1/4/2022,75
524,15:33:18 1/4/2022,73
525,15:40:04 1/4/2022,74
526,15:46:54 1/4/2022,74
527,15:53:37 1/4/2022,73
528,16:00:33 1/4/2022,74
529,16:07:20 1/4/2022,76
530,16:14:05 1/4/2022,76
531,16:20:48 1/4/2022,76
532,16:27:34 1/4/2022,76
533,16:31:21 1/4/2022,74
534,16:40:42 1/4/2022,74
535,16:44:57 1/4/2022,74
536,16:53:49 1/4/2022,74
537,17:00:52 1/4/2022,77
538,17:07:40 1/4/2022,76
539,17:14:25 1/4/2022,78
540,17:21:17 1/4/2022,78
541,17:27:59 1/4/2022,80
542,17:34:49 1/4/2022,80
543,17:41:41 1/4/2022,81
544,17:48:28 1/4/2022,81
545,17:55:10 1/4/2022,81
546,18:01:53 1/4/2022,82
547,18:08:37 1/4/2022,83
548,18:15:26 1/4/2022,86
549,18:22:10 1/4/2022,93
550,18:28:56 1/4/2022,95
551,18:37:08 1/4/2022,94
552,18:44:50 1/4/2022,95
553,18:51:52 1/4/2022,95
554,18:58:51 1/4/2022,95
555,19:05:44 1/4/2022,95
556,19:12:42 1/4/2022,95
557,19:19:28 1/4/2022,95
558,19:26:15 1/4/2022,95
559,19:33:17 1/4/2022,95
560,19:40:17 1/4/2022,95
561,19:47:23 1/4/2022,95
562,19:54:17 1/4/2022,95
563,20:01:16 1/4/2022,95
564,20:08:24 1/4/2022,95
565,20:15:39 1/4/2022,95
566,20:22:48 1/4/2022,95
567,20:30:04 1/4/2022,95
568,20:37:13 1/4/2022,95
569,20:44:53 1/4/2022,95
570,20:52:18 1/4/2022,95
571,20:59:42 1/4/2022,95
572,21:06:43 1/4/2022,95
573,21:13:53 1/4/2022,95
574,21:19:23 1/4/2022,95
575,21:28:21 1/4/2022,95
576,21:35:15 1/4/2022,95
577,21:42:01 1/4/2022,95
578,21:49:00 1/4/2022,95
579,21:55:46 1/4/2022,95
580,22:02:51 1/4/2022,95
581,22:10:00 1/4/2022,95
582,22:17:05 1/4/2022,95
583,22:24:39 1/4/2022,95
584,22:31:49 1/4/2022,95
585,22:38:50 1/4/2022,95
586,22:45:48 1/4/2022,95
587,22:52:51 1/4/2022,95
588,23:00:01 1/4/2022,95
589,23:07:00 1/4/2022,95
590,23:13:55 1/4/2022,95
591,23:21:06 1/4/2022,95
592,23:28:09 1/4/2022,95
593,23:35:31 1/4/2022,95
594,23:42:43 1/4/2022,95
595,23:49:47 1/4/2022,95
596,23:57:17 1/4/2022,95
597,00:04:23 2/4/2022,95
598,00:11:46 2/4/2022,95
599,00:18:48 2/4/2022,95
600,00:26:04 2/4/2022,95
601,00:33:35 2/4/2022,95
602,00:40:49 2/4/2022,95
603,00:48:06 2/4/2022,95
604,00:55:34 2/4/2022,95
605,01:02:47 2/4/2022,95
606,01:10:09 2/4/2022,95
607,01:17:22 2/4/2022,95
608,01:24:59 2/4/2022,95
609,01:32:08 2/4/2022,95
610,01:39:34 2/4/2022,95
611,01:46:56 2/4/2022,95
612,01:54:40 2/4/2022,95
613,02:02:30 2/4/2022,95
614,02:07:37 2/4/2022,95
615,02:10:33 2/4/2022,95
616,02:20:18 2/4/2022,95
617,02:28:00 2/4/2022,95
618,02:34:44 2/4/2022,95
619,02:41:44 2/4/2022,95
620,02:48:36 2/4/2022,95
621,02:55:21 2/4/2022,95
622,03:02:14 2/4/2022,95
623,03:09:02 2/4/2022,95
624,03:15:51 2/4/2022,95
625,03:22:35 2/4/2022,95
626,03:29:24 2/4/2022,95
627,03:36:23 2/4/2022,95
628,03:39:13 2/4/2022,95
629,03:48:27 2/4/2022,95
630,03:55:19 2/4/2022,95
631,04:02:09 2/4/2022,95
632,04:09:08 2/4/2022,95
633,04:15:59 2/4/2022,95
634,04:22:59 2/4/2022,95
635,04:30:16 2/4/2022,95
636,04:37:36 2/4/2022,95
637,04:44:59 2/4/2022,95
638,04:52:10 2/4/2022,95
639,04:59:27 2/4/2022,95
640,05:06:45 2/4/2022,95
641,05:13:49 2/4/2022,95
642,05:21:06 2/4/2022,95
643,05:28:16 2/4/2022,95
644,05:35:20 2/4/2022,95
645,05:42:19 2/4/2022,95
646,05:49:34 2/4/2022,95
647,05:56:43 2/4/2022,95
648,06:03:36 2/4/2022,95
649,06:11:09 2/4/2022,95
650,06:19:08 2/4/2022,95
651,06:27:02 2/4/2022,95
652,06:35:05 2/4/2022,95
653,06:43:19 2/4/2022,95
654,06:45:25 2/4/2022,95
655,06:55:50 2/4/2022,95
656,07:03:35 2/4/2022,95
657,07:10:53 2/4/2022,95
658,07:17:54 2/4/2022,95
659,07:25:04 2/4/2022,95
660,07:32:41 2/4/2022,95
661,07:40:45 2/4/2022,95
662,07:48:10 2/4/2022,95
663,07:55:06 2/4/2022,95
664,08:02:10 2/4/2022,95
665,08:09:36 2/4/2022,95
666,08:16:55 2/4/2022,95
667,08:22:20 2/4/2022,95
668,08:31:38 2/4/2022,95
669,08:38:48 2/4/2022,95
670,08:46:03 2/4/2022,95
671,08:53:11 2/4/2022,95
672,09:00:59 2/4/2022,95
673,09:08:45 2/4/2022,95
674,09:16:09 2/4/2022,95
675,09:23:26 2/4/2022,95
676,09:30:51 2/4/2022,95
677,09:38:20 2/4/2022,95
678,09:46:13 2/4/2022,95
679,09:53:40 2/4/2022,95
680,10:01:07 2/4/2022,95
681,10:08:27 2/4/2022,95
682,10:15:33 2/4/2022,95
683,10:24:00 2/4/2022,79
684,10:32:29 2/4/2022,86
685,10:39:36 2/4/2022,89
686,10:43:26 2/4/2022,81
687,10:52:11 2/4/2022,73
688,10:59:25 2/4/2022,69
689,11:06:25 2/4/2022,74
690,11:14:00 2/4/2022,76
691,11:17:47 2/4/2022,75
692,11:28:18 2/4/2022,77
693,11:35:58 2/4/2022,80
694,11:43:34 2/4/2022,83
695,11:50:42 2/4/2022,89
696,11:58:08 2/4/2022,87
697,12:05:29 2/4/2022,83
698,12:12:18 2/4/2022,88
699,12:19:18 2/4/2022,87
700,12:26:26 2/4/2022,87
701,12:33:12 2/4/2022,89
702,12:40:18 2/4/2022,85
703,12:47:33 2/4/2022,83
704,12:54:43 2/4/2022,84
705,13:01:45 2/4/2022,84
706,13:08:53 2/4/2022,84
707,13:15:50 2/4/2022,84
708,13:22:54 2/4/2022,84
709,13:29:47 2/4/2022,85
710,13:37:06 2/4/2022,84
711,13:44:00 2/4/2022,83
712,13:50:40 2/4/2022,85
713,13:57:21 2/4/2022,87
714,14:04:06 2/4/2022,90
715,14:11:14 2/4/2022,92
716,14:18:02 2/4/2022,90
717,14:24:50 2/4/2022,88
718,14:31:34 2/4/2022,85
719,14:38:32 2/4/2022,85
720,14:45:20 2/4/2022,87
721,14:52:16 2/4/2022,89
722,14:59:21 2/4/2022,88
723,15:06:11 2/4/2022,88
724,15:12:59 2/4/2022,89
725,15:20:08 2/4/2022,91
726,15:24:30 2/4/2022,90
727,15:33:10 2/4/2022,94
728,15:39:58 2/4/2022,92
729,15:46:45 2/4/2022,93
730,15:53:39 2/4/2022,91
731,16:00:27 2/4/2022,93
732,16:07:08 2/4/2022,94
733,16:13:59 2/4/2022,92
734,16:20:55 2/4/2022,94
735,16:27:51 2/4/2022,94
736,16:34:36 2/4/2022,95
737,16:41:28 2/4/2022,95
738,16:48:20 2/4/2022,95
739,16:55:02 2/4/2022,95
740,17:01:46 2/4/2022,95
741,17:08:33 2/4/2022,95
742,17:15:29 2/4/2022,95
743,17:22:21 2/4/2022,95
744,17:29:22 2/4/2022,95
745,17:36:21 2/4/2022,95
746,17:43:16 2/4/2022,95
747,17:50:06 2/4/2022,95
748,17:57:05 2/4/2022,95
749,18:04:33 2/4/2022,95
750,18:07:35 2/4/2022,95
751,18:17:39 2/4/2022,95
752,18:20:33 2/4/2022,95
753,18:30:00 2/4/2022,95
754,18:38:26 2/4/2022,95
755,18:45:34 2/4/2022,95
756,18:52:39 2/4/2022,95
757,19:00:13 2/4/2022,95
758,19:07:22 2/4/2022,95
759,19:14:15 2/4/2022,95
760,19:21:07 2/4/2022,95
761,19:28:25 2/4/2022,95
762,19:36:18 2/4/2022,95
763,19:43:51 2/4/2022,95
764,19:52:01 2/4/2022,95
765,19:59:37 2/4/2022,95
766,20:07:03 2/4/2022,95
767,20:14:36 2/4/2022,95
768,20:22:12 2/4/2022,95
769,20:29:19 2/4/2022,95
770,20:36:44 2/4/2022,95
771,20:44:24 2/4/2022,95
772,20:50:14 2/4/2022,95
773,21:00:04 2/4/2022,95
774,21:07:18 2/4/2022,95
775,21:14:40 2/4/2022,95
776,21:21:54 2/4/2022,95
777,21:29:35 2/4/2022,95
778,21:36:54 2/4/2022,95
779,21:44:36 2/4/2022,95
780,21:51:50 2/4/2022,95
781,21:58:52 2/4/2022,95
782,22:05:33 2/4/2022,95
783,22:12:18 2/4/2022,95
784,22:19:17 2/4/2022,95
785,22:26:04 2/4/2022,95
786,22:33:04 2/4/2022,95
787,22:39:51 2/4/2022,95
788,22:46:45 2/4/2022,95
789,22:53:44 2/4/2022,95
790,23:00:25 2/4/2022,95
791,23:07:18 2/4/2022,95
792,23:14:15 2/4/2022,95
793,23:21:00 2/4/2022,95
794,23:27:43 2/4/2022,95
795,23:34:31 2/4/2022,95
796,23:41:15 2/4/2022,95
797,23:48:00 2/4/2022,95
798,23:54:48 2/4/2022,95
799,00:01:35 3/4/2022,95
800,00:08:21 3/4/2022,95
801,00:15:09 3/4/2022,95
802,00:21:59 3/4/2022,95
803,00:27:00 3/4/2022,95
804,00:35:31 3/4/2022,95
805,00:42:19 3/4/2022,95
806,00:49:00 3/4/2022,95
807,00:55:40 3/4/2022,95
808,01:02:21 3/4/2022,95
809,01:09:02 3/4/2022,95
810,01:15:47 3/4/2022,95
811,01:22:29 3/4/2022,95
812,01:29:17 3/4/2022,95
813,01:36:01 3/4/2022,95
814,01:42:44 3/4/2022,95
815,01:49:27 3/4/2022,95
816,01:56:11 3/4/2022,95
817,02:02:42 3/4/2022,95
818,02:09:30 3/4/2022,95
819,02:16:11 3/4/2022,95
820,02:22:53 3/4/2022,95
