id,HoraFecha,h2
609,01:40:28 2/4/2022,35
610,01:47:56 2/4/2022,35
611,01:55:34 2/4/2022,34
612,02:03:52 2/4/2022,35
613,02:08:58 2/4/2022,35
614,02:11:24 2/4/2022,34
615,02:21:16 2/4/2022,35
616,02:28:51 2/4/2022,33
617,02:35:35 2/4/2022,33
618,02:42:36 2/4/2022,35
619,02:49:26 2/4/2022,33
620,02:56:11 2/4/2022,35
621,03:03:06 2/4/2022,35
622,03:09:52 2/4/2022,35
623,03:16:42 2/4/2022,36
624,03:23:25 2/4/2022,35
625,03:30:17 2/4/2022,35
626,03:37:24 2/4/2022,34
627,03:40:10 2/4/2022,33
628,03:49:18 2/4/2022,33
629,03:56:12 2/4/2022,35
630,04:03:00 2/4/2022,34
631,04:09:59 2/4/2022,36
632,04:16:49 2/4/2022,36
633,04:23:53 2/4/2022,35
634,04:31:20 2/4/2022,35
635,04:38:35 2/4/2022,33
636,04:45:55 2/4/2022,35
637,04:53:01 2/4/2022,33
638,05:00:28 2/4/2022,35
639,05:07:37 2/4/2022,35
640,05:14:41 2/4/2022,34
641,05:22:05 2/4/2022,33
642,05:29:16 2/4/2022,35
643,05:36:10 2/4/2022,34
644,05:43:12 2/4/2022,33
645,05:50:24 2/4/2022,34
646,05:57:36 2/4/2022,36
647,06:04:29 2/4/2022,34
648,06:12:17 2/4/2022,43
649,06:20:05 2/4/2022,52
650,06:27:59 2/4/2022,68
651,06:36:01 2/4/2022,77
652,06:44:31 2/4/2022,83
653,06:46:29 2/4/2022,85
654,06:56:50 2/4/2022,88
655,07:04:31 2/4/2022,90
656,07:11:47 2/4/2022,91
657,07:18:48 2/4/2022,92
658,07:26:08 2/4/2022,92
659,07:33:49 2/4/2022,92
660,07:41:46 2/4/2022,93
661,07:49:00 2/4/2022,94
662,07:55:59 2/4/2022,94
663,08:03:08 2/4/2022,94
664,08:10:32 2/4/2022,94
665,08:17:48 2/4/2022,94
666,08:23:17 2/4/2022,95
667,08:32:46 2/4/2022,95
668,08:39:41 2/4/2022,95
669,08:46:59 2/4/2022,96
670,08:54:11 2/4/2022,96
671,09:02:09 2/4/2022,96
672,09:09:43 2/4/2022,97
673,09:17:06 2/4/2022,97
674,09:24:17 2/4/2022,98
675,09:31:50 2/4/2022,98
676,09:39:12 2/4/2022,98
677,09:47:14 2/4/2022,98
678,09:54:39 2/4/2022,98
679,10:01:59 2/4/2022,99
680,10:09:20 2/4/2022,99
681,10:16:24 2/4/2022,99
682,10:24:51 2/4/2022,99
683,10:33:33 2/4/2022,98
684,10:40:26 2/4/2022,99
685,10:44:21 2/4/2022,98
686,10:53:06 2/4/2022,99
687,11:00:22 2/4/2022,98
688,11:07:18 2/4/2022,99
689,11:14:56 2/4/2022,99
690,11:18:37 2/4/2022,98
691,11:29:17 2/4/2022,98
692,11:36:49 2/4/2022,98
693,11:44:24 2/4/2022,98
694,11:51:40 2/4/2022,98
695,11:59:01 2/4/2022,98
696,12:06:20 2/4/2022,98
697,12:13:13 2/4/2022,98
698,12:20:09 2/4/2022,98
699,12:27:17 2/4/2022,98
700,12:34:03 2/4/2022,98
701,12:41:14 2/4/2022,98
702,12:48:25 2/4/2022,98
703,12:55:33 2/4/2022,98
704,13:02:44 2/4/2022,98
705,13:09:45 2/4/2022,98
706,13:16:49 2/4/2022,98
707,13:23:46 2/4/2022,98
708,13:30:40 2/4/2022,98
709,13:37:59 2/4/2022,98
710,13:44:49 2/4/2022,98
711,13:51:30 2/4/2022,98
712,13:58:11 2/4/2022,97
713,14:04:59 2/4/2022,97
714,14:12:04 2/4/2022,97
715,14:18:52 2/4/2022,98
716,14:25:40 2/4/2022,98
717,14:32:24 2/4/2022,98
718,14:39:22 2/4/2022,98
719,14:46:13 2/4/2022,98
720,14:53:10 2/4/2022,98
721,15:00:15 2/4/2022,98
722,15:07:02 2/4/2022,97
723,15:13:53 2/4/2022,97
724,15:20:58 2/4/2022,97
725,15:25:27 2/4/2022,97
726,15:34:00 2/4/2022,97
727,15:40:48 2/4/2022,97
728,15:47:39 2/4/2022,97
729,15:54:29 2/4/2022,97
730,16:01:18 2/4/2022,97
